ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
54260,Passenger,OLD GREENWICH,CT,09/28/2021,09/27/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Gray,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
54274,Passenger,NEW MILFORD,CT,09/23/2021,09/22/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
54314,Passenger,HAMDEN,CT,09/16/2021,09/15/2024,Regular,Passenger,0,2018,Honda,Clarity,4D,Gray,0,H04,0,Honda Clarity Plug In,PHEV,Light-Duty (Class 1-2)
54319,Passenger,WEST HARTFORD,CT,10/15/2021,10/14/2024,Regular,Passenger,0,2022,Toyota,Prius Prime Le,SD,Red,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
54326,Passenger,TRUMBULL,CT,09/13/2021,09/12/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
54332,Passenger,NORWALK,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54446,Passenger,WESTPORT,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
54565,Passenger,WESTON,CT,10/15/2021,10/14/2024,Regular,Passenger,0,2019,Tesla,Model 3,4D,White,6794689,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54569,Passenger,DARIEN,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Black,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54580,Passenger,STAMFORD,CT,09/25/2021,09/24/2024,Regular,SUV,0,2022,Hyundai,Santa Fe Limited,SU,White,0,H04,0,Hyundai Santa Fe Plug In,PHEV,Light-Duty (Class 1-2)
54614,Passenger,BRISTOL,CT,09/29/2021,09/28/2024,Regular,SUV,0,2022,Hyundai,Santa Fe Limited,SU,White,0,H04,0,Hyundai Santa Fe Plug In,PHEV,Light-Duty (Class 1-2)
54708,Passenger,DARIEN,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Black,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
54776,Passenger,NEWINGTON,CT,10/15/2021,10/14/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Xse,4W,Blue,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
54786,Passenger,WESTPORT,CT,09/28/2021,09/27/2024,Regular,SUV,0,2022,Hyundai,Santa Fe Sel,SU,Silver,0,H04,0,Hyundai Santa Fe Plug In,PHEV,Light-Duty (Class 1-2)
54808,Passenger,GREENWICH,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54881,Passenger,NORWALK,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
54922,Passenger,FAIRFIELD,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54992,Passenger,FARMINGTON,CT,09/02/2021,09/01/2024,Regular,SUV,0,2021,Jeep,Wrangler Unlimited Rubicon 4xe,SU,Black,0,H04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
55011,Passenger,STAMFORD,CT,10/12/2021,10/11/2024,Regular,Passenger,0,2021,Toyota,Rav4 Prime Se,SW,Gray,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
55050,Passenger,NORTHFORD,CT,09/28/2021,09/27/2024,Regular,Passenger,0,2022,Toyota,Prius Prime Le,4H,Silver,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
55069,Passenger,MILFORD,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,SU,Blue,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
55086,Passenger,BROOKFIELD,CT,09/13/2021,09/12/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Red,760366,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55091,Passenger,STAMFORD,CT,09/20/2021,09/19/2024,Regular,SUV,23,2021,Ford,Mustang Mach-e Gt,SU,Red,0,E00,0,Ford Mustang Mach-E,BEV,Light-Duty (Class 1-2)
55095,Passenger,NEW HAVEN,CT,09/20/2021,09/19/2024,Regular,SUV,4774,2021,Toyota,Rav4 Prime Xse,SW,White,6349734,H04,5530,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
55246,Passenger,DANBURY,CT,10/12/2021,10/11/2024,Regular,Passenger,0,2021,Ford,Mustang Mach-e Premium,SU,Red,0,E00,0,Ford Mustang Mach-E,BEV,Light-Duty (Class 1-2)
55269,Passenger,WALLINGFORD,CT,09/25/2021,09/24/2024,Regular,SUV,0,2021,Volkswagen,Id.4 Pro S,SU,Black,0,E00,0,Volkswagen Id.4,BEV,Light-Duty (Class 1-2)
55306,Passenger,COS COB,CT,09/24/2021,09/23/2024,Regular,Passenger,0,2021,Tesla,Model 3,SD,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
55365,Passenger,TULSA,OK,09/29/2021,09/28/2024,Regular,Passenger,0,2022,Mitsubishi,Outlander Sel,EP,Black,0,H04,0,Mitsubishi Outlander Plug In,PHEV,Light-Duty (Class 1-2)
55385,Passenger,WEST HARTFORD,CT,09/07/2021,09/06/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Black,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55409,Passenger,AVON,CT,07/10/2021,07/09/2024,Regular,Passenger,3900,2020,Toyota,Prius Prime Le,4D,Silver,0,H04,4400,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
55456,Passenger,WEST HARTFORD,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2020,Tesla,Model 3,4D,White,4927227,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
55468,Passenger,WOLCOTT,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55469,Passenger,STAMFORD,CT,09/02/2021,09/01/2024,Regular,Passenger,0,2022,Chevrolet,Bolt Euv Premier,SU,Blue,0,E00,0,Chevrolet Bolt EV,BEV,Light-Duty (Class 1-2)
55488,Passenger,GREENWICH,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Black,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55492,Passenger,GREENWICH,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Blue,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
55527,Passenger,CROMWELL,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
55573,Passenger,REDDING,CT,09/13/2021,09/12/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Xse,EP,White,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
55640,Passenger,NEW MILFORD,CT,09/29/2021,09/28/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,SU,Blue,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
55655,Passenger,NEW HAVEN,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,504669,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
